Air Force	Falcons	Colorado Springs	Colorado	Mountain West
Akron	Zips	Akron	Ohio	MAC
Alabama	Crimson Tide	Tuscaloosa	Alabama	SEC
UAB	Blazers	Birmingham	Alabama	C-USA
Appalachian State	Mountaineers	Boone	North Carolina	Sun Belt
Arizona	Wildcats	Tucson	Arizona	Pac-12
Arizona State	Sun Devils	Tempe	Arizona	Pac-12
Arkansas	Razorbacks	Fayetteville	Arkansas	SEC
Arkansas State	Red Wolves	Jonesboro	Arkansas	Sun Belt
Army West Point	Black Knights	West Point	New York	Independent
Auburn	Tigers	Auburn	Alabama	SEC
Ball State	Cardinals	Muncie	Indiana	MAC
Baylor	Bears	Waco	Texas	Big 12
Boise State	Broncos	Boise	Idaho	Mountain West
Boston College	Eagles	Chestnut Hill	Massachusetts	ACC
Bowling Green	Falcons	Bowling Green	Ohio	MAC
Buffalo	Bulls	Buffalo	New York	MAC
BYU	Cougars	Provo	Utah	Independent
California	Golden Bears	Berkeley	California	Pac-12
Fresno State	Bulldogs	Fresno	California	Mountain West
UCLA	Bruins	Los Angeles	California	Pac-12
UCF	Knights	Orlando	Florida	American
Central Michigan	Chippewas	Mount Pleasant	Michigan	MAC
Charlotte	49ers	Charlotte	North Carolina	C-USA
Cincinnati	Bearcats	Cincinnati	Ohio	American
Clemson	Tigers	Clemson	South Carolina	ACC
Coastal Carolina	Chanticleers	Conway	South Carolina	Sun Belt
Colorado	Buffaloes	Boulder	Colorado	Pac-12
Colorado State	Rams	Fort Collins	Colorado	Mountain West
Connecticut	Huskies	Storrs[n 3]	Connecticut	American
Duke	Blue Devils	Durham	North Carolina	ACC
Eastern Michigan	Eagles	Ypsilanti	Michigan	MAC
East Carolina	Pirates	Greenville	North Carolina	American
FIU	Panthers	Miami	Florida	C-USA
Florida	Gators	Gainesville	Florida	SEC
Florida Atlantic	Owls	Boca Raton	Florida	C-USA
Florida State	Seminoles	Tallahassee	Florida	ACC
Georgia	Bulldogs	Athens	Georgia	SEC
